"state","count"
"ALASKA",421
"ALABAMA",850
"ARKANSAS",764
"ARIZONA",3143
"CALIFORNIA",11092
"COLORADO",1818
"CONNECTICUT",1156
"DISTRICT-OF-COLUMBIA",124
"DELAWARE",230
"FLORIDA",5017
"GEORGIA",1645
"HAWAII",433
"IOWA",829
"IDAHO",677
"ILLINOIS",3031
"INDIANA",1651
"KANSAS",764
"KENTUCKY",1063
"LOUISIANA",741
"MASSACHUSETTS",1637
"MARYLAND",1101
"MAINE",736
"MICHIGAN",2424
"MINNESOTA",1263
"MISSOURI",1857
"MISSISSIPPI",498
"MONTANA",617
"NORTH-CAROLINA",2247
"NORTH-DAKOTA",161
"NEBRASKA",472
"NEW-HAMPSHIRE",658
"NEW-JERSEY",1769
"NEW-MEXICO",983
"NEVADA",1067
"NEW-YORK",3799
"OHIO",2883
"OKLAHOMA",918
"OREGON",2193
"PENNSYLVANIA",3109
"RHODE-ISLAND",347
"SOUTH-CAROLINA",1375
"SOUTH-DAKOTA",241
"TENNESSEE",1430
"TEXAS",4313
"UTAH",848
"VIRGINIA",1643
"VERMONT",373
"WASHINGTON",4951
"WISCONSIN",1551
"WEST-VIRGINIA",585
"WYOMING",245
